,recuerdo,tiempo,juego,subj,session_o
0,0,1,1,0,normal
1,0,1,2,0,normal
2,0,1,22,0,normal
3,0,1,23,0,normal
4,0,1,3,0,normal
5,1,1,4,0,normal
6,1,1,5,0,normal
7,1,1,6,0,normal
8,0,1,7,0,normal
9,1,1,8,0,normal
10,0,1,0,0,normal
11,0,1,9,0,normal
12,0,2,1,0,normal
13,0,2,2,0,normal
14,0,2,22,0,normal
15,0,2,23,0,normal
16,0,2,3,0,normal
17,1,2,4,0,normal
18,1,2,5,0,normal
19,0,2,6,0,normal
20,0,2,7,0,normal
21,1,2,8,0,normal
22,0,2,0,0,normal
23,0,2,9,0,normal
24,0,3,1,0,normal
25,0,3,2,0,normal
26,0,3,22,0,normal
27,0,3,23,0,normal
28,0,3,3,0,normal
29,0,3,4,0,normal
30,1,3,5,0,normal
31,0,3,6,0,normal
32,0,3,7,0,normal
33,1,3,8,0,normal
34,0,3,0,0,normal
35,0,3,9,0,normal
36,0,4,1,0,normal
37,0,4,2,0,normal
38,0,4,22,0,normal
39,0,4,23,0,normal
40,0,4,3,0,normal
41,0,4,4,0,normal
42,0,4,5,0,normal
43,0,4,6,0,normal
44,0,4,7,0,normal
45,1,4,8,0,normal
46,1,4,0,0,normal
47,1,4,9,0,normal
48,0,1,1,1,normal
49,1,1,2,1,normal
50,0,1,22,1,normal
51,0,1,23,1,normal
52,1,1,3,1,normal
53,0,1,4,1,normal
54,1,1,5,1,normal
55,1,1,6,1,normal
56,0,1,7,1,normal
57,1,1,8,1,normal
58,1,1,0,1,normal
59,0,1,9,1,normal
60,0,2,1,1,normal
61,0,2,2,1,normal
62,0,2,22,1,normal
63,0,2,23,1,normal
64,0,2,3,1,normal
65,0,2,4,1,normal
66,1,2,5,1,normal
67,1,2,6,1,normal
68,0,2,7,1,normal
69,1,2,8,1,normal
70,0,2,0,1,normal
71,0,2,9,1,normal
72,0,3,1,1,normal
73,0,3,2,1,normal
74,0,3,22,1,normal
75,0,3,23,1,normal
76,0,3,3,1,normal
77,0,3,4,1,normal
78,1,3,5,1,normal
79,0,3,6,1,normal
80,0,3,7,1,normal
81,1,3,8,1,normal
82,0,3,0,1,normal
83,0,3,9,1,normal
84,0,4,1,1,normal
85,0,4,2,1,normal
86,0,4,22,1,normal
87,0,4,23,1,normal
88,0,4,3,1,normal
89,0,4,4,1,normal
90,0,4,5,1,normal
91,0,4,6,1,normal
92,0,4,7,1,normal
93,1,4,8,1,normal
94,1,4,0,1,normal
95,1,4,9,1,normal
96,0,1,1,2,normal
97,0,1,2,2,normal
98,0,1,22,2,normal
99,0,1,23,2,normal
100,0,1,3,2,normal
101,0,1,4,2,normal
102,1,1,5,2,normal
103,1,1,6,2,normal
104,0,1,7,2,normal
105,1,1,8,2,normal
106,0,1,0,2,normal
107,0,1,9,2,normal
108,1,1,1,3,normal
109,0,1,2,3,normal
110,0,1,22,3,normal
111,0,1,23,3,normal
112,1,1,3,3,normal
113,0,1,4,3,normal
114,1,1,5,3,normal
115,1,1,6,3,normal
116,1,1,7,3,normal
117,1,1,8,3,normal
118,0,1,0,3,normal
119,0,1,9,3,normal
120,1,1,1,4,normal
121,0,1,2,4,normal
122,1,1,22,4,normal
123,0,1,23,4,normal
124,1,1,3,4,normal
125,1,1,4,4,normal
126,1,1,5,4,normal
127,1,1,6,4,normal
128,1,1,7,4,normal
129,1,1,8,4,normal
130,0,1,0,4,normal
131,0,1,9,4,normal
132,1,1,1,5,normal
133,0,1,2,5,normal
134,0,1,22,5,normal
135,0,1,23,5,normal
136,1,1,3,5,normal
137,1,1,4,5,normal
138,1,1,5,5,normal
139,1,1,6,5,normal
140,1,1,7,5,normal
141,1,1,8,5,normal
142,0,1,0,5,normal
143,0,1,9,5,normal
144,0,1,1,6,normal
145,1,1,2,6,normal
146,0,1,22,6,normal
147,0,1,23,6,normal
148,0,1,3,6,normal
149,1,1,4,6,normal
150,1,1,5,6,normal
151,1,1,6,6,normal
152,1,1,7,6,normal
153,1,1,8,6,normal
154,0,1,0,6,normal
155,1,1,9,6,normal
156,0,2,1,6,normal
157,1,2,2,6,normal
158,0,2,22,6,normal
159,0,2,23,6,normal
160,0,2,3,6,normal
161,0,2,4,6,normal
162,1,2,5,6,normal
163,1,2,6,6,normal
164,1,2,7,6,normal
165,1,2,8,6,normal
166,0,2,0,6,normal
167,1,2,9,6,normal
168,0,3,1,6,normal
169,1,3,2,6,normal
170,0,3,22,6,normal
171,0,3,23,6,normal
172,0,3,3,6,normal
173,0,3,4,6,normal
174,1,3,5,6,normal
175,0,3,6,6,normal
176,1,3,7,6,normal
177,1,3,8,6,normal
178,0,3,0,6,normal
179,0,3,9,6,normal
180,0,1,1,7,normal
181,0,1,2,7,normal
182,0,1,22,7,normal
183,0,1,23,7,normal
184,1,1,3,7,normal
185,0,1,4,7,normal
186,1,1,5,7,normal
187,1,1,6,7,normal
188,0,1,7,7,normal
189,1,1,8,7,normal
190,0,1,0,7,normal
191,0,1,9,7,normal
192,0,2,1,7,normal
193,0,2,2,7,normal
194,0,2,22,7,normal
195,0,2,23,7,normal
196,0,2,3,7,normal
197,1,2,4,7,normal
198,1,2,5,7,normal
199,1,2,6,7,normal
200,0,2,7,7,normal
201,0,2,8,7,normal
202,0,2,0,7,normal
203,0,2,9,7,normal
204,0,3,1,7,normal
205,0,3,2,7,normal
206,0,3,22,7,normal
207,0,3,23,7,normal
208,0,3,3,7,normal
209,0,3,4,7,normal
210,1,3,5,7,normal
211,1,3,6,7,normal
212,0,3,7,7,normal
213,0,3,8,7,normal
214,0,3,0,7,normal
215,1,3,9,7,normal
216,0,4,1,7,normal
217,0,4,2,7,normal
218,0,4,22,7,normal
219,0,4,23,7,normal
220,0,4,3,7,normal
221,0,4,4,7,normal
222,1,4,5,7,normal
223,1,4,6,7,normal
224,0,4,7,7,normal
225,0,4,8,7,normal
226,0,4,0,7,normal
227,1,4,9,7,normal
228,1,1,1,8,normal
229,1,1,2,8,normal
230,0,1,22,8,normal
231,0,1,23,8,normal
232,1,1,3,8,normal
233,0,1,4,8,normal
234,1,1,5,8,normal
235,0,1,6,8,normal
236,1,1,7,8,normal
237,1,1,8,8,normal
238,0,1,0,8,normal
239,1,1,9,8,normal
240,1,2,1,8,normal
241,1,2,2,8,normal
242,0,2,22,8,normal
243,0,2,23,8,normal
244,0,2,3,8,normal
245,1,2,4,8,normal
246,1,2,5,8,normal
247,0,2,6,8,normal
248,1,2,7,8,normal
249,1,2,8,8,normal
250,0,2,0,8,normal
251,1,2,9,8,normal
252,0,1,1,9,normal
253,0,1,2,9,normal
254,0,1,22,9,normal
255,0,1,23,9,normal
256,0,1,3,9,normal
257,1,1,4,9,normal
258,1,1,5,9,normal
259,1,1,6,9,normal
260,1,1,7,9,normal
261,1,1,8,9,normal
262,0,1,0,9,normal
263,0,1,9,9,normal
264,0,2,1,9,normal
265,1,2,2,9,normal
266,0,2,22,9,normal
267,0,2,23,9,normal
268,0,2,3,9,normal
269,1,2,4,9,normal
270,1,2,5,9,normal
271,1,2,6,9,normal
272,1,2,7,9,normal
273,1,2,8,9,normal
274,0,2,0,9,normal
275,0,2,9,9,normal
276,0,3,1,9,normal
277,0,3,2,9,normal
278,0,3,22,9,normal
279,0,3,23,9,normal
280,0,3,3,9,normal
281,1,3,4,9,normal
282,1,3,5,9,normal
283,1,3,6,9,normal
284,1,3,7,9,normal
285,1,3,8,9,normal
286,0,3,0,9,normal
287,0,3,9,9,normal
288,0,1,1,10,normal
289,1,1,2,10,normal
290,0,1,22,10,normal
291,0,1,23,10,normal
292,0,1,3,10,normal
293,1,1,4,10,normal
294,1,1,5,10,normal
295,1,1,6,10,normal
296,1,1,7,10,normal
297,1,1,8,10,normal
298,0,1,0,10,normal
299,0,1,9,10,normal
300,0,2,1,10,normal
301,0,2,2,10,normal
302,0,2,22,10,normal
303,0,2,23,10,normal
304,0,2,3,10,normal
305,1,2,4,10,normal
306,1,2,5,10,normal
307,1,2,6,10,normal
308,1,2,7,10,normal
